departureAirportFsCode;arrivalAirportFsCode;departureDate;wPrecio;wRetardo;wDuracion;idConnection;directo;departureAirportFsCode_v1;fSalida_v1;hSalida_v1;carrierFsCode_v1;flightNumber_v1;arrivalAirportFsCode_v1;fLlegada_v1;hLlegada_v1;codeshares_v1;temp_v1;humidity_v1;pressure_v1;weather_v1;windSpeed_v1;windDeg_v1;departureAirportFsCode_v2;fSalida_v2;hSalida_v2;carrierFsCode_v2;flightNumber_v2;arrivalAirportFsCode_v2;fLlegada_v2;hLlegada_v2;codeshares_v2;temp_v2;humidity_v2;pressure_v2;weather_v2;windSpeed_v2;windDeg_v2;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_1;true;AUH;2019-10-31;02:00;KL;452;AMS;2019-10-31;06:25;[];null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_2;true;AUH;2019-10-31;02:00;EY;7310;AMS;2019-10-31;06:25;[(KL-null)];null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_2;true;AUH;2019-10-31;02:00;KL;null;AMS;2019-10-31;06:25;[(EY-7310)];null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_3;true;AUH;2019-10-31;09:00;EY;77;AMS;2019-10-31;13:25;[];null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_4;true;AUH;2019-10-31;09:00;KL;3949;AMS;2019-10-31;13:25;[(EY-null)];null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_4;true;AUH;2019-10-31;09:00;EY;null;AMS;2019-10-31;13:25;[(KL-3949)];null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_7;false;AUH;2019-10-31;02:25;EY;23;DUS;2019-10-31;06:30;[];null;null;null;null;null;null;DUS;2019-10-31;08:15;WA;1854;AMS;2019-10-31;09:15;[(KL-1854)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_7;false;AUH;2019-10-31;02:25;EY;23;DUS;2019-10-31;06:30;[];null;null;null;null;null;null;DUS;2019-10-31;08:15;KL;1854;AMS;2019-10-31;09:15;[(WA-1854)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_9;false;AUH;2019-10-31;02:40;LH;9661;MUC;2019-10-31;06:15;[(EY-null)];null;null;null;null;null;null;MUC;2019-10-31;07:00;WA;1790;AMS;2019-10-31;08:50;[(KL-1790)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_9;false;AUH;2019-10-31;02:40;EY;null;MUC;2019-10-31;06:15;[(LH-9661)];null;null;null;null;null;null;MUC;2019-10-31;07:00;WA;1790;AMS;2019-10-31;08:50;[(KL-1790)];null;null;null;null;null;null;
