 ;temp;pressure;wind_speed;windDeg;humidity;delayMean;allOntimeCumul;allOntimeStars;allDelayCumul;allDelayStars
temp;1,000;-0,314;0,046;-0,075;-0,443;0,046;-0,053;-0,053;-0,090;-0,090;
pressure;-0,314;1,000;-0,203;-0,077;-0,006;0,023;0,026;0,026;-0,019;-0,020;
wind_speed;0,046;-0,203;1,000;0,007;0,034;0,009;-0,077;-0,077;-0,014;-0,014;
windDeg;-0,075;-0,077;0,007;1,000;-0,008;-0,001;0,003;0,003;0,011;0,011;
humidity;-0,443;-0,006;0,034;-0,008;1,000;-0,044;0,067;0,067;0,096;0,096;
delayMean;0,046;0,023;0,009;-0,001;-0,044;1,000;-0,285;-0,285;-0,739;-0,739;
allOntimeCumul;-0,053;0,026;-0,077;0,003;0,067;-0,285;1,000;1,000;0,389;0,389;
allOntimeStars;-0,053;0,026;-0,077;0,003;0,067;-0,285;1,000;1,000;0,389;0,389;
allDelayCumul;-0,090;-0,019;-0,014;0,011;0,096;-0,739;0,389;0,389;1,000;1,000;
allDelayStars;-0,090;-0,020;-0,014;0,011;0,096;-0,739;0,389;0,389;1,000;1,000;
