FeatureInfo [rank=0, score=0.07250230900777574, name=allOntimeCumulative_v1]
FeatureInfo [rank=1, score=0.052815021374992666, name=departureDayMomentOneHot_d2]
FeatureInfo [rank=2, score=0.051489380508598054, name=delayMeanLabelOneHot_1.0]
FeatureInfo [rank=3, score=0.03594167089438687, name=allDelayCumulative_v1]
FeatureInfo [rank=4, score=0.03454435855611785, name=departureMonthOneHot_Aug]
FeatureInfo [rank=5, score=0.03401540861263375, name=arrivalDayMomentOneHot_d2]
FeatureInfo [rank=6, score=0.03129570163959946, name=arrivalMonthOneHot_Aug]
FeatureInfo [rank=7, score=0.026645243893066644, name=carrierFsCodeOneHot_U2]
FeatureInfo [rank=8, score=0.025297862787856503, name=departureDayMomentOneHot_d6]
FeatureInfo [rank=9, score=0.023693939512169724, name=arrivalDayMomentOneHot_d3]
FeatureInfo [rank=10, score=0.023625537460876655, name=departureDayMomentOneHot_d5]
FeatureInfo [rank=11, score=0.021987806641670653, name=arrivalDayMomentOneHot_d7]
FeatureInfo [rank=12, score=0.02177801304082677, name=departureAirportOneHot_BCN]
FeatureInfo [rank=13, score=0.02038592375905577, name=weatherOneHot_Rain]
FeatureInfo [rank=14, score=0.016400378703188365, name=arrivalMonthOneHot_Sep]
FeatureInfo [rank=15, score=0.01610625560002887, name=departureMonthOneHot_Sep]
FeatureInfo [rank=16, score=0.015418172614545473, name=departureDayOneHot_Sun]
FeatureInfo [rank=17, score=0.014594241830169554, name=carrierFsCodeOneHot_6E]
FeatureInfo [rank=18, score=0.014419355644091712, name=wind_speed]
FeatureInfo [rank=19, score=0.01367376026588733, name=arrivalDayOneHot_Sun]
FeatureInfo [rank=20, score=0.013249515408780627, name=arrivalAirportOneHot_LGW]
FeatureInfo [rank=21, score=0.013111978519858786, name=departureAirportOneHot_LGW]
FeatureInfo [rank=22, score=0.01275107191578002, name=departureDayOneHot_Mon]
FeatureInfo [rank=23, score=0.012337165282209194, name=carrierFsCodeOneHot_VY]
FeatureInfo [rank=24, score=0.01183915843695316, name=arrivalDayMomentOneHot_d6]
FeatureInfo [rank=25, score=0.011287364739215778, name=carrierFsCodeOneHot_LH]
FeatureInfo [rank=26, score=0.01117499273699219, name=weatherOneHot_Clear]
FeatureInfo [rank=27, score=0.010730431476310733, name=carrierFsCodeOneHot_BA]
FeatureInfo [rank=28, score=0.009999334460661221, name=arrivalAirportOneHot_BCN]
FeatureInfo [rank=29, score=0.009969827677332468, name=departureDayMomentOneHot_d7]
FeatureInfo [rank=30, score=0.009915425317225538, name=pressure]
FeatureInfo [rank=31, score=0.009888570432878876, name=departureAirportOneHot_CGK]
